Model,Accuracy,Precision,Recall,F1,ROC_AUC,PR_AUC
Naive Baseline,0.7965,0.0,0.0,0.0,,
Logistic Regression,0.7845,0.4806451612903226,0.7321867321867321,0.5803310613437196,0.850580935326698,0.6945529198878357
Random Forest,0.843,0.6131386861313869,0.6191646191646192,0.6161369193154034,0.8475609662050341,0.6576624124062486
XGBoost,0.8695,0.7786259541984732,0.5012285012285013,0.6098654708520179,0.8653723060502723,0.7162431553182309
