Model,Accuracy,Precision,Recall,F1,ROC_AUC,PR_AUC
Optimized Logistic Regression,0.785,0.4813614262560778,0.7297297297297297,0.580078125,0.8505115284776302,0.6952023201461549
Optimized Random Forest,0.815,0.5339449541284403,0.714987714987715,0.6113445378151261,0.8618634042362855,0.6908220981322807
Optimized XGBoost,0.872,0.7849056603773585,0.5110565110565111,0.6190476190476191,0.8631050156473885,0.7138869362100294
