Threshold,Precision,Recall,F1
0.2,0.4975369458128079,0.7444717444717445,0.5964566929133859
0.25,0.553030303030303,0.7174447174447175,0.6245989304812835
0.3,0.5921052631578947,0.6633906633906634,0.6257242178447276
0.35,0.6501305483028721,0.6117936117936118,0.6303797468354431
0.39999999999999997,0.686046511627907,0.5798525798525799,0.6284953395472703
0.44999999999999996,0.7254901960784313,0.5454545454545454,0.6227208976157083
0.49999999999999994,0.7849056603773585,0.5110565110565111,0.6190476190476191
0.5499999999999999,0.8217391304347826,0.4643734643734644,0.5934065934065934
0.5999999999999999,0.8514851485148515,0.4226044226044226,0.5648604269293924
0.6499999999999999,0.872093023255814,0.36855036855036855,0.5181347150259067
0.7,0.8888888888888888,0.33415233415233414,0.4857142857142857
