Metric,Day 5 XGBoost,Day 6 Optimized XGBoost
Accuracy,0.8695,0.872
Precision,0.7786259541984732,0.7849056603773585
Recall,0.5012285012285013,0.5110565110565111
F1,0.6098654708520179,0.6190476190476191
ROC-AUC,0.8653723060502723,0.8631050156473885
PR-AUC,0.7162431553182309,0.7138869362100294
