Threshold,Precision,Recall,F1
0.2,0.49756888168557534,0.7542997542997543,0.599609375
0.25,0.5559772296015181,0.7199017199017199,0.6274089935760171
0.3,0.6,0.6633906633906634,0.6301050175029171
0.35,0.6511627906976745,0.6191646191646192,0.6347607052896725
0.39999999999999997,0.6823529411764706,0.5700245700245701,0.6211512717536813
0.44999999999999996,0.73,0.538083538083538,0.6195190947666195
0.49999999999999994,0.7786259541984732,0.5012285012285013,0.6098654708520179
0.5499999999999999,0.8149779735682819,0.45454545454545453,0.583596214511041
0.5999999999999999,0.8469387755102041,0.40786240786240785,0.5505804311774462
0.6499999999999999,0.8764044943820225,0.3832923832923833,0.5333333333333333
0.7,0.8940397350993378,0.3316953316953317,0.4838709677419355
